ts,tick_seq,hour,luminance_mean_1,T1_outflow,T2_outflow,total_outflow,T1_inflow,T2_inflow,total_inflow
2026-05-14T12:15:05+0900,633,12,121.63,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T12:25:18+0900,635,12,108.22,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-14T12:35:30+0900,637,12,118.12,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-14T12:45:43+0900,639,12,110.29,0.0,1.0,1.0,1.0,0.0,1.0
2026-05-14T12:50:49+0900,640,12,113.72,1.0,1.0,2.0,0.0,0.0,0.0
2026-05-14T12:55:54+0900,641,12,115.08,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T13:01:01+0900,642,13,115.39,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T13:06:07+0900,643,13,116.27,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T13:21:27+0900,646,13,109.9,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T13:31:40+0900,648,13,115.51,0.0,4.0,4.0,0.0,0.0,0.0
2026-05-14T13:41:53+0900,650,13,117.36,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-14T13:47:00+0900,651,13,138.95,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-14T13:57:13+0900,653,13,120.37,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T14:07:28+0900,655,14,120.55,1.0,1.0,2.0,0.0,1.0,1.0
2026-05-14T14:12:34+0900,656,14,120.48,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T14:33:01+0900,660,14,110.46,1.0,1.0,2.0,1.0,0.0,1.0
2026-05-14T14:43:16+0900,662,14,112.48,2.0,0.0,2.0,1.0,1.0,2.0
2026-05-14T14:48:23+0900,663,14,113.14,1.0,1.0,2.0,1.0,0.0,1.0
2026-05-14T14:58:36+0900,665,14,115.44,1.0,1.0,2.0,0.0,0.0,0.0
2026-05-14T15:03:43+0900,666,15,121.45,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T15:08:50+0900,667,15,119.41,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T15:19:05+0900,669,15,112.26,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T15:29:18+0900,671,15,111.78,0.0,1.0,1.0,1.0,0.0,1.0
2026-05-14T15:34:25+0900,672,15,115.69,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T15:44:37+0900,674,15,110.34,2.0,0.0,2.0,1.0,0.0,1.0
2026-05-14T15:49:44+0900,675,15,117.75,1.0,0.0,1.0,2.0,0.0,2.0
2026-05-14T15:54:51+0900,676,15,110.61,2.0,0.0,2.0,1.0,0.0,1.0
2026-05-14T15:59:57+0900,677,15,115.79,2.0,1.0,3.0,0.0,0.0,0.0
2026-05-14T16:10:10+0900,679,16,159.24,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T16:51:14+0900,687,16,146.67,0.0,2.0,2.0,0.0,0.0,0.0
2026-05-14T17:32:08+0900,695,17,127.28,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T17:37:16+0900,696,17,151.19,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-14T18:07:57+0900,702,18,117.69,1.0,1.0,2.0,1.0,0.0,1.0
2026-05-14T18:13:03+0900,703,18,119.13,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T18:18:10+0900,704,18,119.13,0.0,1.0,1.0,1.0,1.0,2.0
2026-05-14T18:23:18+0900,705,18,119.68,1.0,1.0,2.0,0.0,0.0,0.0
2026-05-15T04:22:49+0900,824,4,44.85,2.0,1.0,3.0,0.0,0.0,0.0
2026-05-15T04:27:55+0900,825,4,89.98,12.0,13.0,25.0,0.0,0.0,0.0
2026-05-15T04:33:02+0900,826,4,126.72,1.0,2.0,3.0,0.0,0.0,0.0
2026-05-15T06:00:00+0900,843,6,141.45,0.0,1.0,1.0,0.0,3.0,3.0
2026-05-15T06:05:08+0900,844,6,151.06,0.0,3.0,3.0,0.0,0.0,0.0
